year,kendall_tau,p_value,n
1990,0.8814229249011858,5.53446750112893e-13,23
1991,0.9051383399209486,3.542679734623681e-14,23
1992,0.9367588932806324,4.1625603560026685e-16,23
1993,0.9288537549407115,1.403536535137064e-15,23
1994,0.9209486166007905,4.3883922537214465e-15,23
1995,0.9367588932806324,4.1625603560026685e-16,23
1996,0.9525691699604742,2.779001759345861e-17,23
1997,0.9446640316205535,1.131672638753747e-16,23
1998,0.9446640316205535,1.131672638753747e-16,23
1999,0.9525691699604742,2.779001759345861e-17,23
2000,0.9209486166007905,4.3883922537214465e-15,23
2001,0.9367588932806324,4.1625603560026685e-16,23
2002,0.9288537549407115,1.403536535137064e-15,23
2003,0.9209486166007905,4.3883922537214465e-15,23
2004,0.9130434782608695,1.284081560649329e-14,23
2005,0.9446640316205535,1.131672638753747e-16,23
2006,0.9367588932806324,4.1625603560026685e-16,23
2007,0.9367588932806324,4.1625603560026685e-16,23
2008,0.9446640316205535,1.131672638753747e-16,23
2009,0.9841897233201582,2.127493593846876e-20,23
2010,0.9683794466403163,1.1333738599947904e-18,23
2011,0.9525691699604742,2.779001759345861e-17,23
2012,0.9604743083003953,6.044480072030919e-18,23
2013,0.9604743083003953,6.044480072030919e-18,23
2014,0.9683794466403163,1.1333738599947904e-18,23
2015,0.9762845849802372,1.7607910616710872e-19,23
2016,0.9762845849802372,1.7607910616710872e-19,23
2017,0.9762845849802372,1.7607910616710872e-19,23
2018,0.9683794466403163,1.1333738599947904e-18,23
2019,0.9525691699604742,2.779001759345861e-17,23
2020,0.9525691699604742,2.779001759345861e-17,23
2021,0.9683794466403163,1.1333738599947904e-18,23
2022,0.9841897233201582,2.127493593846876e-20,23
2023,0.9762845849802372,1.7607910616710872e-19,23
2024,0.9604743083003953,6.044480072030919e-18,23
