iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
BFA,1990,-4.365565796032523,-4.226081061516342,-4.898895462833625,-3.034654783923825,-1.6862608189459425,0.5663722248393898,-2.9408476164021446
BFA,1991,-4.429724368145486,-4.193794247921431,-4.996448985271019,-3.0240196173222884,-1.694471085845745,0.5877645528744525,-2.9584489586052527
BFA,1992,-4.321484599992361,-4.202284075143138,-5.10416889108078,-3.0133474376023632,-1.7024166094363797,0.5924252387905062,-2.9585460624107522
BFA,1993,-4.412082888626492,-4.194963148698484,-5.230186124574737,-3.0022696831105464,-1.7103853111487832,0.5998653728130129,-2.9916702972243385
BFA,1994,-4.203589459154597,-4.206195783326919,-5.22935235381616,-2.990626708436273,-1.7184255814301759,0.6173460774740922,-2.955140634781672
BFA,1995,-4.216777022553932,-4.172412854109014,-5.216567815287426,-2.9782798360400724,-1.726559429889843,0.6189302342573474,-2.9486111206038235
BFA,1996,-4.210037964041769,-4.120980376224088,-5.155652192039417,-2.9652807847460614,-2.049354345876106,0.6227454643852484,-2.979760033090366
BFA,1997,-4.086521503949713,-4.054522585745985,-5.018112397956615,-2.951256726653384,-1.9653599577816105,0.6175778712171522,-2.9096992168116924
BFA,1998,-3.961630874719323,-3.998083261256286,-5.172587518548939,-2.9349350523038775,-1.887820170443473,0.6231719334696806,-2.8886474906337027
BFA,1999,-3.9956802635207698,-3.9778276713823173,-4.839424464909304,-2.9165633721293713,-1.90198532962491,0.6249393327587578,-2.8344236281346524
BFA,2000,-3.947235291661959,-3.9497889789263168,-4.480147744079118,-3.3264914494596702,-2.009160673595098,0.6246954239756919,-2.8480214522910785
BFA,2001,-3.86144199327594,-3.871956485401215,-4.099427823252376,-3.2502544540424028,-1.9826645547115096,0.6279769482988863,-2.739628060397426
BFA,2002,-3.7638710749811635,-3.8311220215470683,-3.9926123185217754,-3.1754967570509773,-1.8171306915516754,0.6330146911346015,-2.6578696954196768
