model,variable,coefficient
sectors_only,education,0.11188051646719481
sectors_only,energy,0.47388594824756847
sectors_only,research_innovation,0.26480469437236315
sectors_only,health,-0.055759944707382054
sectors_only,housing_living,0.07066309786770471
sectors_only,security_stability,0.28625743403447257
macro_only,GC.DOD.TOTL.GD.ZS,-0.0043209342833229565
macro_only,BN.CAB.XOKA.GD.ZS,0.075925742623253
macro_only,FP.CPI.TOTL.ZG,-0.04072119704151065
macro_only,log_gdppc,0.6101734656167934
full,education,-0.3717037224348019
full,energy,-0.021322087897940482
full,research_innovation,0.16663253836391764
full,health,-0.5173342084202991
full,housing_living,0.4596723760742561
full,security_stability,0.07365130957022165
full,GC.DOD.TOTL.GD.ZS,-0.005365157458600971
full,BN.CAB.XOKA.GD.ZS,0.07679353320548883
full,FP.CPI.TOTL.ZG,-0.07715913947434183
full,log_gdppc,1.3018183416961278
