shock,outcome,p_lags,w_bar,z_bar,p_value,n_countries
education,log_gdppc_x100,2,2.475997228003848,1.1414012555351625,0.3085754671755476,23
education,SI.POV.DDAY,2,5.491928640103162,8.189298562859335,0.0861771647405728,22
education,SI.POV.GINI,2,5.979137364485891,9.331904302443444,0.07103493116565107,22
energy,log_gdppc_x100,2,3.951017203752427,4.678374904140663,0.16153095457899325,23
energy,SI.POV.DDAY,2,8.596635532891861,15.470481632643608,0.02656067352308611,22
energy,SI.POV.GINI,2,5.877424636322496,9.093366810867332,0.07393844870210853,22
research_innovation,log_gdppc_x100,2,2.470059181824689,1.1271623210087145,0.30940379926332073,23
research_innovation,SI.POV.DDAY,2,5.3316556995988895,7.813425199852093,0.09190182496903299,22
research_innovation,SI.POV.GINI,2,5.05016386110274,7.153268322080087,0.1029865681153469,22
health,log_gdppc_x100,2,5.398389145444808,8.149050896103992,0.08851003132529933,23
health,SI.POV.DDAY,2,6.603970324474394,10.797267483837045,0.05571344097406583,22
health,SI.POV.GINI,2,7.090330825396863,11.937883963078226,0.04628222470848464,22
housing_living,log_gdppc_x100,2,3.4614640105541903,3.504467586001409,0.19943924809058,23
housing_living,SI.POV.DDAY,2,5.642446856495137,8.54229507001205,0.08115367147317942,22
housing_living,SI.POV.GINI,2,6.513396858222074,10.584853877071184,0.05769138199965862,22
security_stability,log_gdppc_x100,2,2.452564781451488,1.0369561839362955,0.3135479603364243,21
security_stability,SI.POV.DDAY,2,3.5386832499256826,3.4406003426741245,0.19610032272399736,20
security_stability,SI.POV.GINI,2,3.6348506264385945,3.655637133774812,0.18826575826557745,20
