shock,outcome,lp_horizon,ham_h,ham_lag,beta
education,log_gdppc_x100,0,1,3,-1.0620242200670402
education,log_gdppc_x100,1,1,3,-1.7905269476405705
education,log_gdppc_x100,2,1,3,-0.8144273387331614
education,log_gdppc_x100,3,1,3,-1.68727231491948
education,log_gdppc_x100,4,1,3,-1.9648125298229018
education,log_gdppc_x100,5,1,3,-1.1433843044249121
education,log_gdppc_x100,6,1,3,-1.4113682484577084
energy,log_gdppc_x100,0,1,3,14.666635244272232
energy,log_gdppc_x100,1,1,3,3.9790235360826722
energy,log_gdppc_x100,2,1,3,-6.835003331298863
energy,log_gdppc_x100,3,1,3,-14.23926753254488
energy,log_gdppc_x100,4,1,3,-18.100867528113003
energy,log_gdppc_x100,5,1,3,-20.444325722594932
energy,log_gdppc_x100,6,1,3,-23.02329829714911
research_innovation,log_gdppc_x100,0,1,3,-0.08420349728662713
research_innovation,log_gdppc_x100,1,1,3,-2.651001714839407
research_innovation,log_gdppc_x100,2,1,3,-1.902701304064613
research_innovation,log_gdppc_x100,3,1,3,0.6565320019073595
research_innovation,log_gdppc_x100,4,1,3,-1.1043485122611925
research_innovation,log_gdppc_x100,5,1,3,-2.4019734366444037
research_innovation,log_gdppc_x100,6,1,3,-0.7237352506489161
health,log_gdppc_x100,0,1,3,-8.695513290317232
health,log_gdppc_x100,1,1,3,-9.61200248512138
health,log_gdppc_x100,2,1,3,-10.82738718984062
health,log_gdppc_x100,3,1,3,-12.002293017092478
health,log_gdppc_x100,4,1,3,-17.484343725719683
health,log_gdppc_x100,5,1,3,-16.9431474070638
health,log_gdppc_x100,6,1,3,-15.758405826506376
housing_living,log_gdppc_x100,0,1,3,5.957595625862432
housing_living,log_gdppc_x100,1,1,3,4.8406497951636185
housing_living,log_gdppc_x100,2,1,3,2.383234871988896
housing_living,log_gdppc_x100,3,1,3,1.6766781450712536
housing_living,log_gdppc_x100,4,1,3,2.641208987903635
housing_living,log_gdppc_x100,5,1,3,4.6124542206754455
housing_living,log_gdppc_x100,6,1,3,6.253873889102195
security_stability,log_gdppc_x100,0,1,3,4.237064399806636
