shock,outcome,horizon,beta,se,tstat,pvalue,sig_flag
education,log_gdppc_x100,0,-1.0620242200670402,2.3765667512575828,-0.4468732971649376,0.6549665450680455,
education,log_gdppc_x100,1,-1.7905269476405705,3.16814440404369,-0.5651658255713392,0.5719609789085109,
education,log_gdppc_x100,2,-0.8144273387331614,3.7388600596590322,-0.2178277137249779,0.8275633505748978,
education,log_gdppc_x100,3,-1.68727231491948,4.454474754907805,-0.3787814294065747,0.7048501787961543,
education,log_gdppc_x100,4,-1.9648125298229018,4.923282374000296,-0.3990858903805755,0.6898299183462417,
education,log_gdppc_x100,5,-1.1433843044249121,4.987240067485338,-0.22926193424681648,0.8186653376314939,
education,log_gdppc_x100,6,-1.4113682484577084,5.321652744419894,-0.2652123910072151,0.7908458499496087,
education,log_gdppc_x100,7,-1.3635165809211958,5.478685295238054,-0.24887660222176528,0.8034562346654359,
education,log_gdppc_x100,8,-3.447557581484988,5.70281118355855,-0.6045365119968279,0.5454870019466631,
education,SI.POV.DDAY,0,0.1520192133501176,0.5957224412540131,0.2551846343577602,0.7985804983018079,
education,SI.POV.DDAY,1,0.3756951482108653,0.7136260373491778,0.5264594178856136,0.5985690413996272,
education,SI.POV.DDAY,2,-0.20598524081596925,0.7539320300775952,-0.2732146037020991,0.7846882547644065,
education,SI.POV.DDAY,3,-1.0209067201971103,0.9226624668572163,-1.1064790829462638,0.26851921265438583,
education,SI.POV.DDAY,4,-1.5936591615434392,1.0062769249282375,-1.583718280787459,0.11325784283650209,
education,SI.POV.DDAY,5,-1.4918498129785807,1.1072309066757002,-1.3473700959609616,0.1778610667149041,
education,SI.POV.DDAY,6,-0.4172114179251196,1.191826125715946,-0.35006064133264,0.726293187982356,
education,SI.POV.DDAY,7,-0.262304291416623,1.2057452053312046,-0.21754537381267958,0.8277833503746983,
education,SI.POV.DDAY,8,-0.5709075708083762,1.2394554987737985,-0.4606115922460942,0.6450772932348041,
education,SI.POV.GINI,0,0.3845718766939799,0.28070590879850055,1.3700170343405118,0.17068158427661784,
education,SI.POV.GINI,1,0.49156841538924734,0.3763935409213432,1.305995884482972,0.1915539571316054,
education,SI.POV.GINI,2,0.4418204421841976,0.5095538718727245,0.8670730742569154,0.38590197251153624,
education,SI.POV.GINI,3,0.6490402759107394,0.5402457478131737,1.201379702733336,0.22960394588517685,
education,SI.POV.GINI,4,0.8825864194761274,0.6139257896519043,1.4376109203305396,0.15054448068461945,
education,SI.POV.GINI,5,0.7426474828444694,0.6583822007702009,1.1279883963686923,0.2593248196605138,
education,SI.POV.GINI,6,0.6608205457255008,0.8138656796504238,0.8119528347839169,0.4168186957108082,
education,SI.POV.GINI,7,0.9536618324136724,0.8510329968575935,1.1205932507141696,0.2624610392222919,
education,SI.POV.GINI,8,1.1374859553770973,0.9610064572296887,1.183640283392215,0.23655548704359886,
energy,log_gdppc_x100,0,14.666635244272232,5.453907922885448,2.6891974436768074,0.007162404155150126,***
energy,log_gdppc_x100,1,3.9790235360826722,8.21576898980912,0.48431541113415827,0.6281620403651875,
energy,log_gdppc_x100,2,-6.835003331298863,8.978651741501997,-0.7612505226932287,0.4465074467136336,
energy,log_gdppc_x100,3,-14.23926753254488,9.06320404511741,-1.5711074650488481,0.11615768891924905,
energy,log_gdppc_x100,4,-18.100867528113003,9.502490007245296,-1.9048552026165524,0.056798895796921434,*
energy,log_gdppc_x100,5,-20.444325722594932,9.747332061273493,-2.0974278493928598,0.035955717929768705,**
