duration,survival,arm,split_by,n
0.0,1.0,high,energy,10
5.0,0.5999999999999999,high,energy,10
6.0,0.49999999999999983,high,energy,10
10.0,0.3999999999999999,high,energy,10
12.0,0.3,high,energy,10
15.0,0.19999999999999998,high,energy,10
18.0,0.09999999999999998,high,energy,10
34.0,0.09999999999999998,high,energy,10
0.0,1.0,low,energy,11
5.0,0.7272727272727271,low,energy,11
17.0,0.6363636363636362,low,energy,11
18.0,0.5454545454545454,low,energy,11
20.0,0.4545454545454544,low,energy,11
23.0,0.3636363636363636,low,energy,11
34.0,0.3636363636363636,low,energy,11
0.0,1.0,high,health,10
5.0,0.3999999999999999,high,health,10
6.0,0.3,high,health,10
15.0,0.19999999999999998,high,health,10
18.0,0.09999999999999998,high,health,10
34.0,0.09999999999999998,high,health,10
0.0,1.0,low,health,11
5.0,0.9090909090909092,low,health,11
10.0,0.8181818181818182,low,health,11
12.0,0.7272727272727271,low,health,11
17.0,0.6363636363636362,low,health,11
18.0,0.5454545454545454,low,health,11
20.0,0.4545454545454544,low,health,11
23.0,0.3636363636363636,low,health,11
34.0,0.3636363636363636,low,health,11
