year,actual,synthetic
1990,1122.99132414558,1244.290216889586
1991,1072.69710641561,1260.9575925233494
1992,1112.59034456897,1239.6912506465571
1993,984.217529921952,1228.6068560942158
1994,575.367548491022,1212.8200606108815
1995,931.367790069386,1226.976223003839
1996,888.131009878549,1262.1964957956916
1997,874.694728296322,1277.739658282422
1998,913.71963460585,1344.2825163168725
1999,945.733218859969,1356.1878551114883
2000,1016.66199090104,1321.7545917059108
2001,1093.18409838429,1367.6772703766378
2002,1220.7394919553,1384.3365306072265
2003,1220.49916686742,1413.477574218113
2004,1277.19280440829,1406.5921099113443
2005,1360.29587570276,1471.505629820538
2006,1446.71094686551,1510.7146150078534
2007,1516.26750609323,1516.8699601899443
2008,1641.77767401672,1564.45028795041
2009,1699.94452992694,1554.187475472548
2010,1779.15851051568,1632.7790734245823
2011,1874.21498172873,1660.8137492764856
2012,1988.01219478847,1734.1670449791645
2013,2032.40480194092,1772.6088086830084
2014,2106.21454365589,1804.7685738708558
2015,2238.53941469642,1818.9354731283522
2016,2316.63731573814,1865.293418366916
2017,2351.59686866227,1912.6084767807918
2018,2493.44001744938,1983.3541393431249
2019,2667.46458436613,2041.9606840860188
2020,2520.31739425373,2037.486810206527
2021,2733.43566762447,2082.13101083732
2022,2892.45964942821,2131.8397441594702
2023,3062.99909649442,2128.667689814787
2024,3264.64451474392,2213.6539894722355
