year,actual,synthetic
1990,45567.7903891463,7901.097877724573
1991,47251.6944416002,7896.534582718879
1992,48897.810341575,7843.094040974067
1993,53139.844472382,7959.764482932333
1994,57213.0977645801,8057.034844792562
1995,59483.6383121123,8273.845468087055
1996,61381.7523709208,8560.245125538639
1997,64291.2024694333,8812.879025183522
1998,60782.1972058002,8701.098629637389
1999,63746.4792227046,8795.395639994887
2000,68314.5444027166,9160.24219137627
2001,65784.4018813783,9241.595561400565
2002,67744.2702679808,9479.23377051473
2003,71877.5348633552,9815.856987348505
2004,78039.024710382,10299.872790167525
2005,81841.1587801054,10731.153879861704
2006,86463.8283836607,11293.359888444029
2007,90417.8073849967,11870.987927678385
2008,87329.5937792686,12223.216712431196
2009,84843.5194001734,11982.407760136193
2010,95456.1893079996,12569.984436298448
2011,99296.7561111269,13100.188906935291
2012,101187.825333454,13547.094469151336
2013,104359.030680724,13917.759469769742
2014,107066.858613992,14205.974511585084
2015,108953.724294287,14484.986431863617
2016,111579.742684331,14738.56797907739
2017,116471.820764776,15158.17523582097
2018,119927.769127927,15615.460187996494
2019,120114.133894235,15895.409331282204
2020,115893.042395938,15154.93348933223
2021,132617.354020876,16163.735816783974
2022,133571.962410322,16719.10546571579
2023,129555.245509242,17115.79893589269
2024,132569.525225795,17637.757653730016
